Y,X,Stop_ID,plt,weight,Order_ID
37.58409211,126.9706207,S_1,0.23,62.76,O_1
37.58500537,126.9818567,S_3,0.2,49.32,O_2
37.59241132,126.964065,S_4,0.14,70.0,O_3
37.60637332,126.9683674,S_5,5.84,3116.94,O_4
37.57600022,126.9581596,S_6,0.18,116.72,O_5
37.57191387,126.9619602,S_7,3.6,1818.95,O_6
37.58005086,126.9847891,S_8,0.54,255.81,O_7
37.57071161,126.9889709,S_9,0.12,61.49,O_8
37.57206117,127.0050313,S_10,1.13,510.4,O_9
37.57445049,127.010871,S_14,0.4,240.0,O_10
37.57802956,127.0145586,S_15,0.1,40.0,O_11
37.57782273,127.0156281,S_16,1.16,779.32,O_12
37.57487529,127.0199617,S_17,0.28,34.32,O_13
37.56242289,126.9770419,S_18,0.12,50.36,O_14
37.5600479,126.9858184,S_20,0.22,58.42,O_15
37.56015769,126.9955974,S_21,3.88,1436.04,O_16
37.56190715,127.0078401,S_22,2.97,2320.11,O_17
37.56446028,127.005037,S_23,0.92,568.8,O_18
37.56201888,127.014445,S_25,0.89,200.0,O_19
37.55433289,127.0082945,S_26,0.31,82.5,O_20
37.55247345,127.0089948,S_27,0.48,173.04,O_21
37.55706761,127.0146854,S_28,2.76,513.36,O_22
37.5651269,127.0218661,S_29,0.25,168.0,O_23
37.56742273,127.0213823,S_31,0.57,400.0,O_24
37.55479085,126.9644544,S_32,0.18,120.0,O_25
37.54869884,126.9781522,S_33,0.19,190.0,O_26
37.54607483,126.9855706,S_34,0.38,146.4,O_27
37.54577416,126.9748246,S_35,0.1,60.32,O_28
37.5454791,126.9698731,S_36,1.0,384.0,O_29
37.53724193,126.9676278,S_37,0.37,104.01,O_30
37.53435268,126.9515469,S_38,0.12,69.0,O_31
37.54250834,126.9618379,S_39,1.39,864.0,O_32
37.53895578,126.9575843,S_40,0.17,19.4,O_33
37.5281408,126.9692276,S_41,0.82,297.36,O_34
37.5213567,126.9732982,S_42,1.34,220.67,O_35
37.52628266,126.9546591,S_43,0.37,25.44,O_36
37.53250655,126.9950674,S_44,0.14,34.93,O_37
37.53456471,127.0004949,S_46,6.58,5752.33,O_38
37.52047698,126.9946523,S_47,0.16,126.0,O_39
37.52630091,127.0001827,S_48,0.23,205.06,O_40
37.56787474,127.0255294,S_49,1.21,155.28,O_41
37.56108275,127.030513,S_50,0.3,120.0,O_42
37.56631969,127.0454073,S_51,0.23,54.12,O_43
37.56149957,127.045326,S_52,1.43,149.28,O_44
37.55850972,127.0361515,S_53,0.51,471.6,O_45
37.55822103,127.0293498,S_54,2.83,1279.65,O_46
37.55313923,127.0334024,S_55,1.84,1312.99,O_47
37.55485999,127.0216494,S_56,0.23,70.4,O_48
37.55321004,127.0209111,S_57,0.14,71.76,O_49
37.54717885,127.0223524,S_58,0.1,60.0,O_50
37.54364027,127.0134149,S_59,0.76,16.49,O_51
37.54102878,127.0496333,S_60,0.13,25.61,O_52
37.53954093,127.0540233,S_62,0.1,74.4,O_53
37.5482232,127.0552456,S_63,0.66,258.82,O_54
37.55453307,127.0695685,S_64,0.38,377.0,O_55
37.56066762,127.0800521,S_66,0.34,278.88,O_56
37.56015047,127.0814751,S_67,1.0,96.0,O_57
37.56880689,127.0801381,S_68,0.14,64.48,O_58
37.5537606,127.0805521,S_70,1.0,800.0,O_59
37.54241324,127.0856773,S_71,0.12,43.71,O_60
37.54561639,127.0883599,S_72,0.12,48.88,O_61
37.53799342,127.0919847,S_73,1.95,958.36,O_62
37.54688276,127.1030098,S_74,4.17,64.0,O_63
37.53449795,127.0823949,S_75,0.53,127.85,O_64
37.52879933,127.0843875,S_76,0.31,212.0,O_65
37.53409779,127.0662584,S_78,1.0,0.02,O_66
37.54652678,127.0712676,S_79,0.45,344.4,O_67
37.5551605,127.07589,S_80,1.8,663.76,O_68
37.57580011,127.0372752,S_81,0.56,363.0,O_69
37.5831288,127.0378228,S_82,0.4,414.0,O_70
37.57797071,127.0477271,S_83,0.23,30.5,O_71
37.57809107,127.0600078,S_84,0.24,77.08,O_72
37.57182309,127.0512749,S_85,0.22,90.44,O_73
37.57847147,127.0705894,S_88,0.39,80.85,O_74
37.58627625,127.0472854,S_89,1.42,1130.95,O_75
37.59080616,127.0553779,S_90,0.79,672.0,O_76
37.59013384,127.0685918,S_92,1.09,508.52,O_77
37.5978135,127.065483,S_93,0.44,264.0,O_78
37.60337606,127.0651039,S_94,4.23,1508.81,O_79
37.58295676,127.0880694,S_97,0.94,463.62,O_80
37.57470151,127.0856085,S_98,0.3,60.98,O_81
37.58575279,127.0794745,S_99,0.23,78.68,O_82
37.57901366,127.0869674,S_100,0.4,176.57,O_83
37.59983752,127.0871613,S_101,0.21,67.5,O_84
37.59289195,127.0808518,S_102,0.28,176.3,O_85
37.60117128,127.080661,S_103,0.22,176.0,O_86
37.61241458,127.0784793,S_105,0.25,256.0,O_87
37.60056056,127.1014853,S_107,3.13,636.1,O_88
37.59189966,127.0949182,S_108,0.22,154.48,O_89
37.60586899,127.0995038,S_109,2.22,1340.88,O_90
37.60625232,127.0941678,S_110,0.53,117.6,O_91
37.59105175,127.0032478,S_111,0.27,252.0,O_92
37.59398014,127.0204087,S_113,5.41,1949.94,O_93
37.59801698,127.010539,S_115,0.34,83.52,O_94
37.58037354,127.0228035,S_117,0.26,325.0,O_95
37.60446495,127.0111396,S_119,1.19,244.42,O_96
37.60895467,127.0041769,S_120,0.1,35.8,O_97
37.61335758,127.0070184,S_121,0.14,115.76,O_98
37.61048654,127.0194561,S_122,1.05,420.0,O_99
37.60681328,127.0272803,S_123,0.25,33.7,O_100
37.59903437,127.0352236,S_124,1.33,705.72,O_101
37.61053624,127.035762,S_125,0.15,54.0,O_102
37.60577914,127.0478706,S_126,0.41,146.28,O_103
37.61406942,127.0436684,S_127,0.58,230.0,O_104
37.61239016,127.0544978,S_128,0.25,200.0,O_105
37.61655912,127.0566145,S_129,0.73,638.65,O_106
37.61297096,127.0614241,S_130,0.15,67.43,O_107
37.62505177,127.0197725,S_131,0.19,16.37,O_108
37.62709135,127.0269751,S_132,0.16,108.0,O_109
37.61612179,127.0337803,S_133,0.11,56.66,O_110
37.61829748,127.023851,S_134,0.22,84.0,O_111
37.61514822,127.0207421,S_135,0.12,63.82,O_112
37.63789129,127.0288472,S_136,1.0,1000.0,O_113
37.6318813,127.0390622,S_137,1.42,796.6,O_114
37.62586737,127.0465907,S_138,0.11,22.08,O_115
37.6300516,127.0175594,S_139,0.17,116.0,O_116
37.64464458,127.0198895,S_140,0.17,46.3,O_117
37.64793425,127.0118697,S_142,9.37,5719.23,O_118
37.64148693,127.0105968,S_143,0.25,192.0,O_119
37.64803784,127.0260513,S_144,0.23,129.0,O_120
37.65793243,127.0388203,S_145,0.8,400.0,O_121
37.64898155,127.0279211,S_146,0.66,327.34,O_122
37.65646373,127.0284052,S_147,0.4,208.3,O_123
37.66422859,127.0406591,S_148,0.25,164.4,O_124
37.66821354,127.0350512,S_149,0.41,110.0,O_125
37.65917578,127.0280107,S_150,0.32,313.27,O_126
37.64837711,127.0438238,S_151,0.13,120.86,O_127
37.63799988,127.0429904,S_153,0.74,498.47,O_128
37.65223813,127.0515393,S_154,5.09,1588.25,O_129
37.65633441,127.0435868,S_155,0.25,48.65,O_130
37.66967564,127.046534,S_157,1.0,810.0,O_131
37.61999186,127.0628833,S_158,1.42,272.0,O_132
37.63250969,127.0507799,S_159,0.48,143.22,O_133
37.62100498,127.0692318,S_160,0.3,120.0,O_134
37.62477801,127.0737505,S_161,0.1,60.0,O_135
37.62128712,127.0833787,S_162,0.83,840.0,O_136
37.64055906,127.0725599,S_163,0.35,253.94,O_137
37.63204326,127.0679518,S_164,0.3,117.0,O_138
37.65254803,127.0774758,S_166,0.47,149.69,O_139
37.64212979,127.0687318,S_167,0.17,260.0,O_140
37.65876366,127.0779752,S_168,0.46,134.12,O_141
37.67992984,127.0549605,S_169,0.27,69.74,O_142
37.65748313,127.0678641,S_170,0.56,235.32,O_143
37.67291123,127.0832363,S_171,0.44,428.25,O_144
37.66273707,127.069498,S_172,0.1,60.0,O_145
37.65488369,127.0669501,S_173,0.1,34.4,O_146
37.66673618,127.0515533,S_174,0.23,51.26,O_147
37.66452079,127.0638188,S_175,0.79,80.37,O_148
37.66128526,127.0602597,S_176,0.29,64.0,O_149
37.60245742,126.9288229,S_177,2.0,2000.0,O_150
37.61035273,126.9320881,S_178,0.2,139.92,O_151
37.62368848,126.9166888,S_180,0.16,145.0,O_152
37.61175584,126.9103541,S_182,0.28,103.56,O_153
37.61417599,126.9208071,S_183,7.76,5071.06,O_154
37.6006967,126.9267462,S_184,0.1,100.0,O_155
37.59458158,126.9230685,S_185,2.0,2000.0,O_156
37.59222993,126.9157173,S_186,1.25,819.0,O_157
37.59779426,126.9117597,S_188,0.35,143.5,O_158
37.58435477,126.9070273,S_190,0.22,64.13,O_159
37.58352996,126.8936446,S_191,0.2,200.0,O_160
37.63501732,126.9210378,S_192,0.39,84.32,O_161
37.57111489,126.9590677,S_194,0.1,49.08,O_162
37.55947096,126.9570364,S_195,0.21,151.88,O_163
37.55954878,126.9435048,S_196,0.1,108.0,O_164
37.57388703,126.9352207,S_197,0.67,480.0,O_165
37.58610547,126.9493691,S_199,6.25,5220.89,O_166
37.59376657,126.9496911,S_200,0.8,204.0,O_167
37.59885299,126.9471453,S_201,0.61,422.19,O_168
37.58010825,126.9341504,S_202,1.0,660.4,O_169
37.57327487,126.9197797,S_203,0.22,1.58,O_170
37.57843406,126.9238669,S_204,4.17,1465.51,O_171
37.57430267,126.9101907,S_205,0.1,12.52,O_172
37.58149091,126.9111755,S_206,0.18,88.4,O_173
37.55017417,126.9600328,S_207,0.14,71.76,O_174
37.54710694,126.9521571,S_208,0.45,281.44,O_175
37.54153106,126.9498753,S_209,0.11,40.0,O_176
37.54232552,126.9428348,S_210,0.21,105.88,O_177
37.55585899,126.9423208,S_211,0.12,151.12,O_178
37.54707412,126.9456478,S_212,0.29,212.47,O_179
37.54715926,126.9351045,S_213,6.32,4256.0,O_180
37.54773473,126.9320618,S_214,0.12,30.0,O_181
37.55511048,126.9145897,S_215,0.47,149.69,O_182
37.55558837,126.9055913,S_217,0.31,165.52,O_183
37.56031134,126.9023171,S_218,0.11,78.59,O_184
37.56450401,126.9220214,S_219,4.4,3333.98,O_185
37.56861384,126.9089695,S_221,0.1,60.95,O_186
37.57833432,126.894673,S_222,0.17,1.44,O_187
37.53036563,126.8711898,S_223,3.42,660.46,O_188
37.54474118,126.8644362,S_225,1.0,720.0,O_189
37.53243314,126.8683948,S_226,0.21,2.0,O_190
37.53718334,126.8817165,S_227,0.18,104.26,O_191
37.53280626,126.8315273,S_228,0.5,255.54,O_192
37.52497426,126.8445695,S_229,11.55,6352.0,O_193
37.53363175,126.8290822,S_230,0.22,84.0,O_194
37.52469581,126.8400811,S_231,0.12,10.24,O_195
37.53858213,126.8271743,S_232,0.73,638.65,O_196
37.5180156,126.8450865,S_233,0.5,251.6,O_197
37.52188377,126.834709,S_234,2.36,1465.2,O_198
37.51857188,126.8542861,S_235,0.1,105.34,O_199
37.51921418,126.870674,S_236,0.5,145.92,O_200
37.51514715,126.8547892,S_237,0.83,200.56,O_201
37.52456036,126.855803,S_238,1.35,220.0,O_202
37.51705671,126.8643886,S_239,0.28,48.52,O_203
37.51439945,126.8596713,S_240,0.18,86.32,O_204
37.55377136,126.8709657,S_241,1.63,1355.44,O_205
37.55582869,126.8589098,S_242,0.17,54.0,O_206
37.54265827,126.8625035,S_243,0.14,64.8,O_207
37.55888771,126.8479185,S_244,0.12,140.0,O_208
37.54404823,126.8476634,S_245,4.29,1142.84,O_209
37.53050858,126.8415925,S_246,0.15,30.0,O_210
37.53182784,126.8544885,S_247,0.37,300.0,O_211
37.54252631,126.8384139,S_248,0.25,33.7,O_212
37.53269577,126.8483304,S_251,2.1,2366.72,O_213
37.54828859,126.8418363,S_252,0.17,42.4,O_214
37.56948816,126.8447046,S_253,0.79,855.0,O_215
37.56739892,126.8512712,S_254,0.1,105.34,O_216
37.56108697,126.8605577,S_255,0.11,115.0,O_217
37.5531163,126.8331774,S_256,1.0,960.12,O_218
37.55878281,126.8100743,S_257,0.29,240.0,O_219
37.57034251,126.817051,S_258,0.13,132.0,O_220
37.56671508,126.8067403,S_259,0.11,45.0,O_221
37.50777999,126.8805952,S_261,0.24,45.01,O_222
37.4913197,126.883399,S_263,1.0,252.0,O_223
37.48734704,126.89033,S_264,0.27,143.0,O_224
37.49157662,126.8891489,S_265,1.33,705.72,O_225
37.50010311,126.8893378,S_266,0.94,810.09,O_226
37.4825341,126.8897181,S_267,0.21,60.0,O_227
37.50040448,126.8627884,S_268,0.47,234.14,O_228
37.50669208,126.8586053,S_269,0.2,90.81,O_229
37.50024126,126.8511388,S_270,0.34,170.0,O_230
37.49250746,126.8620329,S_271,0.67,269.64,O_231
37.48881354,126.8395133,S_274,2.65,814.8,O_232
37.4938915,126.8314768,S_275,0.56,363.0,O_233
37.48014529,126.8233947,S_276,0.13,147.2,O_234
37.47689182,126.8917817,S_277,0.16,11.45,O_235
37.47021905,126.8970437,S_278,0.1,61.05,O_236
37.4631474,126.9034825,S_279,0.11,39.84,O_237
37.47516041,126.9031745,S_280,0.11,67.16,O_238
37.46755353,126.9021682,S_281,0.42,448.0,O_239
37.45355197,126.9032506,S_282,0.18,121.04,O_240
37.44963195,126.9146119,S_283,0.33,209.0,O_241
37.44025903,126.9058017,S_284,0.3,143.1,O_242
37.45897879,126.9061844,S_285,1.25,1029.7,O_243
37.4507346,126.9083415,S_286,0.86,57.1,O_244
37.51466633,126.9093394,S_287,0.3,137.29,O_245
37.52038937,126.9106976,S_288,0.2,120.0,O_246
37.51769391,126.934614,S_289,0.12,22.8,O_247
37.52512811,126.8974049,S_290,0.5,500.0,O_248
37.53101151,126.8973478,S_291,0.59,391.6,O_249
37.5094934,126.8959996,S_292,0.21,99.0,O_250
37.51710975,126.8995233,S_293,0.4,200.0,O_251
37.52364629,126.8882263,S_294,0.36,240.0,O_252
37.53650136,126.8940394,S_295,0.58,230.0,O_253
37.51116875,126.9214422,S_296,0.8,800.0,O_254
37.5016416,126.905219,S_299,0.2,98.17,O_255
37.50639203,126.9215141,S_301,0.11,74.72,O_256
37.49545723,126.905842,S_302,0.13,10.5,O_257
37.49831352,126.8980344,S_304,0.14,78.4,O_258
37.50851669,126.9373567,S_306,0.13,90.0,O_259
37.49810133,126.9530811,S_307,0.14,79.24,O_260
37.50546805,126.9423012,S_308,0.52,47.28,O_261
37.49912572,126.931404,S_309,0.29,199.35,O_262
37.49937464,126.9414012,S_310,4.0,2611.2,O_263
37.505777,126.9665927,S_311,0.13,53.24,O_264
37.48310498,126.9787779,S_312,0.83,427.02,O_265
37.4887124,126.9792525,S_313,0.89,276.05,O_266
37.48097575,126.9716337,S_315,0.31,125.01,O_267
37.48566276,126.9669792,S_316,0.9,460.02,O_268
37.48894469,126.9100394,S_318,2.11,1695.23,O_269
37.49841253,126.924544,S_319,0.12,1.82,O_270
37.48817585,126.932778,S_320,6.0,6000.0,O_271
37.48952989,126.9481596,S_322,0.12,81.0,O_272
37.48419282,126.9497511,S_323,3.44,2571.64,O_273
37.48064257,126.9570309,S_325,0.15,98.47,O_274
37.4791175,126.9416407,S_326,0.71,175.17,O_275
37.47649632,126.9583326,S_327,0.1,110.0,O_276
37.47468786,126.9778753,S_329,0.51,269.19,O_277
37.487396,126.9271139,S_330,0.13,62.9,O_278
37.48541288,126.9180359,S_331,0.1,50.16,O_279
37.48256328,126.9077947,S_332,0.17,93.85,O_280
37.47617498,126.9155517,S_333,0.13,64.0,O_281
37.47102189,126.9216418,S_334,0.56,45.0,O_282
37.46151944,126.9187965,S_335,0.34,170.0,O_283
37.47976918,126.9313747,S_336,0.42,420.0,O_284
37.4701073,126.9329623,S_339,0.76,760.0,O_285
37.47059604,126.9369573,S_340,8.18,4860.18,O_286
37.49206947,127.0249478,S_342,1.0,115.2,O_287
37.48371635,127.0119913,S_343,0.54,189.4,O_288
37.50271558,127.02221,S_344,0.74,496.8,O_289
37.51496808,127.0139821,S_345,1.0,302.4,O_290
37.50509404,127.0133786,S_347,0.27,82.37,O_291
37.50458542,126.9944717,S_348,0.1,24.24,O_292
37.51204799,127.0056087,S_349,10.0,6480.0,O_293
37.49748589,127.0003286,S_350,0.18,155.0,O_294
37.49414867,126.988847,S_351,0.12,19.61,O_295
37.48336166,126.9945139,S_352,0.25,173.67,O_296
37.47977264,126.9855596,S_353,0.28,130.02,O_297
37.47843876,126.9999966,S_354,0.18,63.0,O_298
37.47167106,127.0266688,S_356,0.37,134.42,O_299
37.47064502,127.0412829,S_357,0.24,144.0,O_300
37.44935828,127.0583143,S_358,0.14,140.0,O_301
37.52397448,127.0227964,S_359,1.25,1000.0,O_302
37.5115038,127.0285345,S_360,0.2,200.0,O_303
37.51728313,127.0372042,S_361,0.21,147.56,O_304
37.53061724,127.0306522,S_362,0.2,119.6,O_305
37.52509211,127.0492911,S_363,0.27,180.0,O_306
37.5143323,127.062501,S_364,0.24,81.5,O_307
37.51120727,127.0459769,S_365,0.22,41.8,O_308
37.49324481,127.056775,S_366,0.25,301.2,O_309
37.50230433,127.0641877,S_367,0.22,45.06,O_310
37.49972974,127.0578495,S_368,0.16,27.83,O_311
37.49537321,127.0332838,S_369,2.88,1850.61,O_312
37.49597383,127.046815,S_370,7.44,3806.4,O_313
37.48372308,127.046407,S_372,0.5,149.76,O_314
37.48328034,127.0543931,S_373,0.17,116.64,O_315
37.48978362,127.0690768,S_374,2.71,592.45,O_316
37.47881995,127.0516585,S_375,0.18,87.07,O_317
37.48337906,127.0864829,S_376,0.12,80.0,O_318
37.49185469,127.0880264,S_377,0.26,189.0,O_319
37.48891301,127.1049908,S_379,0.64,505.93,O_320
37.46904926,127.1069125,S_380,0.31,20.36,O_321
37.53807237,127.1220741,S_381,0.5,300.0,O_322
37.52923995,127.1157303,S_382,0.23,162.0,O_323
37.49694018,127.1433044,S_383,0.35,252.0,O_324
37.49354898,127.1468223,S_384,0.21,149.04,O_325
37.49600273,127.1499482,S_385,0.61,243.7,O_326
37.49684218,127.1485343,S_386,0.35,163.5,O_327
37.5109768,127.1239058,S_387,0.2,13.0,O_328
37.51555725,127.134274,S_389,0.31,94.5,O_329
37.50298784,127.1280698,S_390,11.98,5540.66,O_330
37.50626355,127.1093124,S_391,0.26,231.15,O_331
37.50231833,127.1167367,S_392,0.83,581.05,O_332
37.50356569,127.1036892,S_393,1.57,951.75,O_333
37.50272496,127.0925231,S_394,5.84,3116.94,O_334
37.50304147,127.1230517,S_396,0.89,217.51,O_335
37.49867675,127.1266095,S_397,1.08,270.0,O_336
37.49007382,127.1241807,S_398,0.49,448.15,O_337
37.48988331,127.1108968,S_399,0.76,760.0,O_338
37.48696583,127.1324383,S_400,0.78,524.54,O_339
37.48114953,127.1439356,S_401,0.3,375.0,O_340
37.50615944,127.0842989,S_402,3.13,636.1,O_341
37.51189159,127.0885409,S_403,0.14,76.22,O_342
37.51329966,127.0943752,S_404,0.1,72.0,O_343
37.52010823,127.1122446,S_405,1.5,145.0,O_344
37.51811892,127.1006398,S_406,0.12,1.82,O_345
37.50865223,127.0765197,S_407,1.01,668.1,O_346
37.56504103,127.1739072,S_408,0.51,47.31,O_347
37.55058303,127.1683006,S_409,0.93,466.11,O_348
37.5463638,127.1513524,S_412,0.17,50.4,O_349
37.55728071,127.1515076,S_413,0.31,120.0,O_350
37.56050657,127.1643563,S_414,0.37,329.79,O_351
37.5517063,127.1272709,S_416,0.48,173.04,O_352
37.55499636,127.1407841,S_417,0.15,22.52,O_353
37.54502087,127.1367994,S_418,0.51,187.86,O_354
37.54345134,127.1254311,S_419,0.11,110.0,O_355
37.53047772,127.122458,S_421,0.75,690.0,O_356
37.53243047,127.1295408,S_422,0.1,100.0,O_357
37.52604217,127.1328839,S_423,0.18,168.0,O_358
37.53456231,127.1426858,S_424,0.17,32.0,O_359
37.53334613,127.1419485,S_425,0.12,83.95,O_360
37.53334613,127.1419485,S_426,0.18,94.57,O_361
37.47042186,126.6250106,S_427,0.94,810.24,O_362
37.45314708,126.6045123,S_428,0.1,38.9,O_363
37.46765504,126.6340871,S_429,0.1,31.79,O_364
37.46806974,126.6379078,S_430,0.62,105.74,O_365
37.46923278,126.6357741,S_431,2.63,1594.69,O_366
37.47682521,126.6289482,S_432,0.28,179.9,O_367
37.4752255,126.6185426,S_433,0.64,160.0,O_368
37.49415709,126.5314783,S_434,0.13,129.52,O_369
37.48885379,126.5548446,S_435,1.0,791.42,O_370
37.49333114,126.4883441,S_436,0.11,34.8,O_371
