Y,X,Stop_ID,plt,weight,Order_ID
37.58409211,126.9706207,S_1,0.14,81.53,O_1
37.58005086,126.9847891,S_8,11.98,5540.66,O_2
37.57071161,126.9889709,S_9,1.22,566.0,O_3
37.57206117,127.0050313,S_10,0.7,420.0,O_4
37.58685154,127.0006231,S_12,0.5,57.6,O_5
37.57071856,127.0163431,S_13,0.5,500.0,O_6
37.57802956,127.0145586,S_15,1.25,1250.0,O_7
37.57782273,127.0156281,S_16,0.12,152.04,O_8
37.57487529,127.0199617,S_17,1.0,1000.32,O_9
37.56242289,126.9770419,S_18,0.1,55.12,O_10
37.55728611,126.9793555,S_19,0.51,110.31,O_11
37.5600479,126.9858184,S_20,0.39,235.0,O_12
37.56015769,126.9955974,S_21,0.13,120.29,O_13
37.56190715,127.0078401,S_22,0.1,60.0,O_14
37.56201888,127.014445,S_25,0.51,471.6,O_15
37.55433289,127.0082945,S_26,0.11,80.0,O_16
37.55706761,127.0146854,S_28,0.18,63.0,O_17
37.5651269,127.0218661,S_29,0.1,50.0,O_18
37.56742273,127.0213823,S_31,0.67,213.0,O_19
37.55479085,126.9644544,S_32,0.34,295.0,O_20
37.54869884,126.9781522,S_33,0.4,400.0,O_21
37.54607483,126.9855706,S_34,1.12,391.66,O_22
37.54577416,126.9748246,S_35,0.11,135.4,O_23
37.5454791,126.9698731,S_36,0.4,246.48,O_24
37.53435268,126.9515469,S_38,0.34,64.0,O_25
37.54250834,126.9618379,S_39,0.1,72.0,O_26
37.53895578,126.9575843,S_40,0.24,136.5,O_27
37.5213567,126.9732982,S_42,7.1,7814.4,O_28
37.52628266,126.9546591,S_43,2.11,1695.23,O_29
37.53250655,126.9950674,S_44,0.28,233.4,O_30
37.53456471,127.0004949,S_46,0.16,23.4,O_31
37.52630091,127.0001827,S_48,0.47,390.0,O_32
37.56149957,127.045326,S_52,0.14,79.49,O_33
37.55822103,127.0293498,S_54,6.8,3760.1,O_34
37.55485999,127.0216494,S_56,0.27,231.7,O_35
37.55321004,127.0209111,S_57,0.75,76.95,O_36
37.54717885,127.0223524,S_58,0.19,165.0,O_37
37.54364027,127.0134149,S_59,0.23,110.58,O_38
37.54102878,127.0496333,S_60,0.47,216.26,O_39
37.54640255,127.0443497,S_61,0.1,41.34,O_40
37.53954093,127.0540233,S_62,0.29,203.94,O_41
37.5482232,127.0552456,S_63,0.44,264.0,O_42
37.55453307,127.0695685,S_64,0.39,80.85,O_43
37.56066762,127.0800521,S_66,1.67,821.52,O_44
37.56015047,127.0814751,S_67,0.47,126.34,O_45
37.56880689,127.0801381,S_68,0.14,67.6,O_46
37.54241324,127.0856773,S_71,0.79,672.0,O_47
37.54561639,127.0883599,S_72,1.54,1122.03,O_48
37.53799342,127.0919847,S_73,0.17,106.77,O_49
37.54688276,127.1030098,S_74,0.28,232.7,O_50
37.52879933,127.0843875,S_76,0.98,834.27,O_51
37.53383394,127.0729024,S_77,8.19,6867.52,O_52
37.53409779,127.0662584,S_78,0.2,187.2,O_53
37.5551605,127.07589,S_80,0.24,200.0,O_54
37.57580011,127.0372752,S_81,0.27,60.0,O_55
37.5831288,127.0378228,S_82,0.71,243.86,O_56
37.57797071,127.0477271,S_83,0.12,1.82,O_57
37.57182309,127.0512749,S_85,0.17,76.4,O_58
37.56739777,127.0612821,S_86,0.24,180.0,O_59
37.57847147,127.0705894,S_88,0.78,258.0,O_60
37.58627625,127.0472854,S_89,8.6,2610.83,O_61
37.59080616,127.0553779,S_90,9.3,4907.06,O_62
37.5929078,127.0657612,S_91,0.24,45.01,O_63
37.59013384,127.0685918,S_92,1.54,1034.24,O_64
37.5978135,127.065483,S_93,3.29,2307.77,O_65
37.60337606,127.0651039,S_94,3.0,720.0,O_66
37.58735561,127.0875552,S_95,0.12,44.66,O_67
37.58977313,127.0790295,S_96,0.17,1.44,O_68
37.58295676,127.0880694,S_97,0.5,330.2,O_69
37.57470151,127.0856085,S_98,1.2,556.0,O_70
37.57901366,127.0869674,S_100,0.16,108.0,O_71
37.59983752,127.0871613,S_101,0.15,21.2,O_72
37.59289195,127.0808518,S_102,0.3,208.28,O_73
37.60117128,127.080661,S_103,2.0,1000.0,O_74
37.61241458,127.0784793,S_105,8.15,5912.74,O_75
37.59189966,127.0949182,S_108,0.12,78.33,O_76
37.60586899,127.0995038,S_109,0.1,0.02,O_77
37.60625232,127.0941678,S_110,0.46,97.62,O_78
37.59105175,127.0032478,S_111,0.14,146.11,O_79
37.59084573,127.0146418,S_112,0.73,302.19,O_80
37.59398014,127.0204087,S_113,0.17,200.0,O_81
37.59801698,127.010539,S_115,0.44,286.66,O_82
37.58037354,127.0228035,S_117,0.44,220.0,O_83
37.6014358,127.0166418,S_118,0.44,264.0,O_84
37.60446495,127.0111396,S_119,0.18,51.1,O_85
37.60895467,127.0041769,S_120,0.16,200.0,O_86
37.61335758,127.0070184,S_121,0.29,80.0,O_87
37.61048654,127.0194561,S_122,0.13,23.7,O_88
37.60681328,127.0272803,S_123,5.09,2850.0,O_89
37.61053624,127.035762,S_125,2.07,1527.62,O_90
37.60577914,127.0478706,S_126,0.57,249.68,O_91
37.61406942,127.0436684,S_127,0.21,200.0,O_92
37.61239016,127.0544978,S_128,0.67,480.0,O_93
37.61655912,127.0566145,S_129,0.14,26.14,O_94
37.61297096,127.0614241,S_130,0.27,69.74,O_95
37.61612179,127.0337803,S_133,0.1,125.0,O_96
37.61514822,127.0207421,S_135,0.6,428.79,O_97
37.63789129,127.0288472,S_136,0.25,41.2,O_98
37.6318813,127.0390622,S_137,1.25,819.0,O_99
37.62586737,127.0465907,S_138,0.15,71.0,O_100
37.6387147,127.0231464,S_141,0.32,240.0,O_101
37.64148693,127.0105968,S_143,0.1,40.0,O_102
37.65793243,127.0388203,S_145,1.22,519.4,O_103
37.64898155,127.0279211,S_146,8.79,5398.67,O_104
37.65646373,127.0284052,S_147,0.67,158.0,O_105
37.66821354,127.0350512,S_149,0.32,192.0,O_106
37.63799988,127.0429904,S_153,0.12,101.19,O_107
37.65223813,127.0515393,S_154,0.22,251.12,O_108
37.65633441,127.0435868,S_155,0.38,111.6,O_109
37.67869086,127.0434133,S_156,0.17,85.09,O_110
37.66967564,127.046534,S_157,0.33,76.28,O_111
37.61999186,127.0628833,S_158,0.12,78.33,O_112
37.63250969,127.0507799,S_159,0.16,138.0,O_113
37.62100498,127.0692318,S_160,0.15,52.18,O_114
37.62477801,127.0737505,S_161,0.33,30.56,O_115
37.62128712,127.0833787,S_162,0.56,378.35,O_116
37.64055906,127.0725599,S_163,1.42,1130.95,O_117
37.64780328,127.0802862,S_165,0.1,55.74,O_118
37.65876366,127.0779752,S_168,0.5,336.0,O_119
37.67992984,127.0549605,S_169,0.27,202.8,O_120
37.67291123,127.0832363,S_171,0.11,51.9,O_121
37.66273707,127.069498,S_172,0.38,377.0,O_122
37.65488369,127.0669501,S_173,0.54,273.96,O_123
37.66673618,127.0515533,S_174,0.1,18.65,O_124
37.66452079,127.0638188,S_175,0.7,668.0,O_125
37.66128526,127.0602597,S_176,0.13,120.29,O_126
37.61035273,126.9320881,S_178,0.15,43.3,O_127
37.62368848,126.9166888,S_180,0.27,70.4,O_128
37.61867537,126.9157763,S_181,0.16,108.0,O_129
37.61175584,126.9103541,S_182,0.47,280.31,O_130
37.59458158,126.9230685,S_185,0.12,59.28,O_131
37.59222993,126.9157173,S_186,0.33,37.71,O_132
