Y,X,Stop_ID,plt,weight,Order_ID
37.57606858,126.9688539,S_2,0.32,196.42,O_1
37.58500537,126.9818567,S_3,1.78,1078.1,O_2
37.57191387,126.9619602,S_7,1.56,206.85,O_3
37.58005086,126.9847891,S_8,0.2,150.0,O_4
37.57071161,126.9889709,S_9,0.19,21.84,O_5
37.57697973,127.0043465,S_11,0.63,192.0,O_6
37.58685154,127.0006231,S_12,1.99,2505.0,O_7
37.57071856,127.0163431,S_13,0.17,110.44,O_8
37.57445049,127.010871,S_14,0.16,102.0,O_9
37.57802956,127.0145586,S_15,0.1,23.72,O_10
37.57782273,127.0156281,S_16,1.22,352.04,O_11
37.57487529,127.0199617,S_17,0.25,90.0,O_12
37.56242289,126.9770419,S_18,1.42,1053.38,O_13
37.55728611,126.9793555,S_19,0.17,151.9,O_14
37.56190715,127.0078401,S_22,0.32,263.0,O_15
37.56446028,127.005037,S_23,3.25,1300.0,O_16
37.56201888,127.014445,S_25,0.63,118.5,O_17
37.55247345,127.0089948,S_27,1.0,720.0,O_18
37.55706761,127.0146854,S_28,0.1,70.99,O_19
37.5651269,127.0218661,S_29,0.58,148.4,O_20
37.55998237,127.0194224,S_30,4.24,1563.24,O_21
37.54869884,126.9781522,S_33,0.26,91.12,O_22
37.53724193,126.9676278,S_37,0.4,200.0,O_23
37.53435268,126.9515469,S_38,0.13,69.0,O_24
37.54250834,126.9618379,S_39,0.15,73.3,O_25
37.53895578,126.9575843,S_40,0.24,171.0,O_26
37.5281408,126.9692276,S_41,4.28,2440.4,O_27
37.5213567,126.9732982,S_42,0.16,59.37,O_28
37.52628266,126.9546591,S_43,3.0,2428.4,O_29
37.53250655,126.9950674,S_44,0.29,212.47,O_30
37.54190386,126.9901955,S_45,0.14,11.4,O_31
37.53456471,127.0004949,S_46,6.64,6740.76,O_32
37.52047698,126.9946523,S_47,2.29,697.75,O_33
37.52630091,127.0001827,S_48,0.38,262.5,O_34
37.56108275,127.030513,S_50,0.96,735.0,O_35
37.55850972,127.0361515,S_53,0.47,144.0,O_36
37.55822103,127.0293498,S_54,0.62,436.0,O_37
37.55313923,127.0334024,S_55,0.15,75.81,O_38
37.55321004,127.0209111,S_57,0.16,144.0,O_39
37.54717885,127.0223524,S_58,0.26,188.8,O_40
37.54102878,127.0496333,S_60,1.57,1348.36,O_41
37.54640255,127.0443497,S_61,0.14,26.29,O_42
37.5482232,127.0552456,S_63,0.12,37.08,O_43
37.55453307,127.0695685,S_64,0.67,180.0,O_44
37.56406781,127.0555683,S_65,0.38,219.48,O_45
37.56015047,127.0814751,S_67,0.2,47.4,O_46
37.56880689,127.0801381,S_68,1.58,482.88,O_47
37.5537606,127.0805521,S_70,0.1,90.0,O_48
37.53799342,127.0919847,S_73,0.16,127.88,O_49
37.53383394,127.0729024,S_77,2.03,1820.0,O_50
37.54652678,127.0712676,S_79,0.28,167.04,O_51
37.5551605,127.07589,S_80,0.15,43.3,O_52
37.57580011,127.0372752,S_81,0.17,63.7,O_53
37.5831288,127.0378228,S_82,0.36,154.54,O_54
37.57797071,127.0477271,S_83,3.0,3006.72,O_55
37.57809107,127.0600078,S_84,0.23,47.48,O_56
37.57182309,127.0512749,S_85,0.23,48.2,O_57
37.57847147,127.0705894,S_88,0.25,233.52,O_58
37.58627625,127.0472854,S_89,0.4,244.8,O_59
37.59080616,127.0553779,S_90,0.27,60.0,O_60
37.59013384,127.0685918,S_92,0.12,30.0,O_61
37.58295676,127.0880694,S_97,0.92,839.67,O_62
37.57470151,127.0856085,S_98,0.14,180.0,O_63
37.58575279,127.0794745,S_99,2.78,900.0,O_64
37.57901366,127.0869674,S_100,0.17,110.44,O_65
37.59983752,127.0871613,S_101,0.13,53.24,O_66
37.60117128,127.080661,S_103,0.37,300.0,O_67
37.60056056,127.1014853,S_107,0.23,141.6,O_68
37.60586899,127.0995038,S_109,0.25,152.4,O_69
37.60625232,127.0941678,S_110,0.14,82.33,O_70
37.59105175,127.0032478,S_111,0.31,114.0,O_71
