Y,X,Stop_ID,plt,weight,Order_ID
37.58409211,126.9706207,S_1,1.58,482.88,O_1
37.57600022,126.9581596,S_6,0.18,81.92,O_2
37.57191387,126.9619602,S_7,0.11,40.0,O_3
37.58005086,126.9847891,S_8,2.16,788.26,O_4
37.57206117,127.0050313,S_10,0.81,539.66,O_5
37.58685154,127.0006231,S_12,0.21,93.14,O_6
37.57071856,127.0163431,S_13,0.15,22.52,O_7
37.57445049,127.010871,S_14,0.1,43.64,O_8
37.57487529,127.0199617,S_17,3.44,1788.91,O_9
37.56242289,126.9770419,S_18,0.12,69.0,O_10
37.55728611,126.9793555,S_19,0.41,131.49,O_11
37.56446028,127.005037,S_23,0.78,524.54,O_12
37.56201888,127.014445,S_25,2.39,810.67,O_13
37.56742273,127.0213823,S_31,0.48,173.04,O_14
37.55479085,126.9644544,S_32,5.85,3289.5,O_15
37.54577416,126.9748246,S_35,0.22,114.0,O_16
37.5454791,126.9698731,S_36,0.42,100.28,O_17
37.53724193,126.9676278,S_37,1.19,244.42,O_18
37.54250834,126.9618379,S_39,0.14,150.0,O_19
37.5281408,126.9692276,S_41,1.76,345.4,O_20
37.52628266,126.9546591,S_43,0.55,430.44,O_21
37.53250655,126.9950674,S_44,6.83,3660.0,O_22
37.52047698,126.9946523,S_47,0.36,144.0,O_23
37.56108275,127.030513,S_50,0.34,8.94,O_24
37.56149957,127.045326,S_52,0.18,41.09,O_25
37.55822103,127.0293498,S_54,0.11,37.92,O_26
37.53954093,127.0540233,S_62,0.63,42.0,O_27
37.56406781,127.0555683,S_65,4.3,1429.22,O_28
37.56066762,127.0800521,S_66,1.86,1163.32,O_29
37.56015047,127.0814751,S_67,0.41,146.28,O_30
37.53799342,127.0919847,S_73,0.13,30.98,O_31
37.54688276,127.1030098,S_74,0.17,71.18,O_32
37.53449795,127.0823949,S_75,0.63,381.0,O_33
37.53383394,127.0729024,S_77,0.42,277.5,O_34
37.5551605,127.07589,S_80,0.69,692.5,O_35
37.56739777,127.0612821,S_86,0.21,99.0,O_36
37.57847147,127.0705894,S_88,0.1,28.8,O_37
37.58627625,127.0472854,S_89,0.12,27.0,O_38
37.59013384,127.0685918,S_92,0.36,130.0,O_39
37.60337606,127.0651039,S_94,0.26,65.0,O_40
37.58295676,127.0880694,S_97,1.0,660.4,O_41
