Y,X,Stop_ID,plt,weight,Order_ID
37.58500537,126.9818567,S_3,0.15,12.79,O_1
37.60637332,126.9683674,S_5,0.63,630.0,O_2
37.58005086,126.9847891,S_8,0.53,159.12,O_3
37.57071161,126.9889709,S_9,0.53,334.96,O_4
37.57206117,127.0050313,S_10,0.11,37.8,O_5
37.57697973,127.0043465,S_11,1.0,1000.0,O_6
37.58685154,127.0006231,S_12,0.78,122.41,O_7
37.57445049,127.010871,S_14,0.28,19.08,O_8
37.57782273,127.0156281,S_16,0.19,155.45,O_9
37.57487529,127.0199617,S_17,0.36,90.0,O_10
37.56242289,126.9770419,S_18,0.14,18.49,O_11
37.55728611,126.9793555,S_19,0.28,92.6,O_12
37.56190715,127.0078401,S_22,0.67,180.0,O_13
37.56201888,127.014445,S_25,0.4,300.0,O_14
37.55433289,127.0082945,S_26,0.27,144.0,O_15
37.55247345,127.0089948,S_27,1.46,916.0,O_16
37.55706761,127.0146854,S_28,7.0,7000.4,O_17
37.5651269,127.0218661,S_29,0.27,63.2,O_18
37.55998237,127.0194224,S_30,0.11,0.06,O_19
37.56742273,127.0213823,S_31,0.36,168.0,O_20
37.55479085,126.9644544,S_32,0.25,168.0,O_21
37.54607483,126.9855706,S_34,6.74,5998.94,O_22
37.54577416,126.9748246,S_35,1.01,174.0,O_23
37.5454791,126.9698731,S_36,0.48,143.22,O_24
37.54250834,126.9618379,S_39,0.28,216.68,O_25
37.5281408,126.9692276,S_41,0.12,151.12,O_26
37.52628266,126.9546591,S_43,0.2,127.3,O_27
37.53250655,126.9950674,S_44,7.64,6933.28,O_28
37.53456471,127.0004949,S_46,0.2,116.6,O_29
37.52047698,126.9946523,S_47,0.21,144.0,O_30
37.56787474,127.0255294,S_49,0.8,227.08,O_31
37.56631969,127.0454073,S_51,0.35,160.27,O_32
37.55850972,127.0361515,S_53,0.19,129.6,O_33
37.55822103,127.0293498,S_54,0.46,97.62,O_34
37.55313923,127.0334024,S_55,0.14,81.72,O_35
37.55321004,127.0209111,S_57,1.22,1457.22,O_36
37.54717885,127.0223524,S_58,0.63,240.0,O_37
37.54364027,127.0134149,S_59,3.69,1579.26,O_38
37.54640255,127.0443497,S_61,1.22,519.4,O_39
37.53954093,127.0540233,S_62,0.21,25.2,O_40
37.5482232,127.0552456,S_63,5.8,3224.52,O_41
37.55453307,127.0695685,S_64,0.27,188.66,O_42
37.56406781,127.0555683,S_65,0.16,216.0,O_43
37.56066762,127.0800521,S_66,1.0,252.0,O_44
37.56015047,127.0814751,S_67,4.91,4078.07,O_45
37.55909865,127.0894329,S_69,0.15,64.85,O_46
37.5537606,127.0805521,S_70,0.19,59.15,O_47
37.54561639,127.0883599,S_72,0.22,105.58,O_48
37.53799342,127.0919847,S_73,0.75,197.12,O_49
37.54688276,127.1030098,S_74,0.84,258.83,O_50
37.53449795,127.0823949,S_75,0.72,262.2,O_51
37.53383394,127.0729024,S_77,0.99,673.92,O_52
37.53409779,127.0662584,S_78,0.15,9.0,O_53
37.54652678,127.0712676,S_79,0.5,400.0,O_54
37.5551605,127.07589,S_80,1.0,720.0,O_55
37.57580011,127.0372752,S_81,1.0,432.0,O_56
37.5831288,127.0378228,S_82,0.13,8.0,O_57
37.57797071,127.0477271,S_83,2.78,1284.72,O_58
37.57809107,127.0600078,S_84,0.5,294.0,O_59
37.57182309,127.0512749,S_85,0.16,136.02,O_60
37.56739777,127.0612821,S_86,0.41,27.98,O_61
37.57847147,127.0705894,S_88,0.22,15.26,O_62
37.58627625,127.0472854,S_89,3.55,2550.57,O_63
37.5929078,127.0657612,S_91,0.51,492.0,O_64
37.59013384,127.0685918,S_92,0.83,908.5,O_65
37.5978135,127.065483,S_93,0.64,425.0,O_66
37.57470151,127.0856085,S_98,2.88,629.94,O_67
37.58575279,127.0794745,S_99,0.35,122.4,O_68
37.57901366,127.0869674,S_100,3.03,1164.43,O_69
37.60117128,127.080661,S_103,0.29,207.0,O_70
37.61241458,127.0784793,S_105,2.46,980.0,O_71
37.60056056,127.1014853,S_107,3.32,2832.25,O_72
37.59105175,127.0032478,S_111,0.18,107.32,O_73
37.59084573,127.0146418,S_112,1.2,41.92,O_74
37.59398014,127.0204087,S_113,0.83,840.0,O_75
37.59801698,127.010539,S_115,0.15,32.62,O_76
37.58037354,127.0228035,S_117,0.67,208.95,O_77
37.6014358,127.0166418,S_118,0.38,48.0,O_78
37.60446495,127.0111396,S_119,0.21,150.0,O_79
37.61335758,127.0070184,S_121,0.13,125.0,O_80
37.61048654,127.0194561,S_122,0.32,55.24,O_81
37.59903437,127.0352236,S_124,6.69,3409.44,O_82
